index,i_h2_inj_kg_thm,i_pul_coal_inj_kg_thm,i_nat_gas_inj_kg_thm,i_nat_gas_t_k,i_o2_vol_perce,i_hot_blast_temp_k,i_ore_moisture_weight_perce,i_ore_weight_kg,o_tuyere_exit_velo_m_s,o_raceway_flame_temp_k,o_raceway_coal_burn_perce,o_raceway_volume_m,o_shaft_co_utiliz,o_shaft_h2_utiliz,o_shaft_top_gas_temp_c,o_shaft_press_drop_pa,o_shaft_coke_rate_kg_thm,o_shaft_cohesive_zone_tip_height_m,o_shaft_co_v_perc,o_shaft_co2_v_perc,o_shaft_h2_v_perce,o_shaft_n2_v_perc
63,0,1,0,0.6,0.9,0.983041751,0.777777778,0.889088097,128.71654,2396.361,85.7992086,0.2167488,46.4911,45.26933,128.3602,165351.3,-67.1645,31.88024,0.2583152,0.2244366,0.039699197,0.477549
64,0,1,0,0.6,1,0.983041751,0.777777778,0.9017557,128.19148,2525.533,88.38376011,0.2167488,46.00234,44.62177,108.3159,177113.9,-41.33005,31.80024,0.2754748,0.2346858,0.037880491,0.4519589
65,0,0.45,0,0.6,0.7,0.983041751,0.333333333,0.70077788,129.75002,2240.644,85.78296949,0.2167488,47.04607,44.56824,185.907,119509.6,-33.0045,31.88024,0.2255948,0.200426,0.026647814,0.5473315
66,0,0.45,0,0.6,0.8,0.983041751,0.333333333,0.713445483,129.151,2390.72,88.77137514,0.2167488,48.85362,45.68853,165.441,128511.9,-13.1415,31.80024,0.2337326,0.223255,0.025476532,0.5175359
67,0,0.45,0,0.6,0.9,0.983041751,0.333333333,0.726113086,128.62132,2532.331,92.54781695,0.2167488,46.50771,44.8121,145.0906,147108.8,18.29805,31.80024,0.263653,0.2292274,0.024780156,0.4823395
68,0,0.45,0,0.6,1,0.983041751,0.333333333,0.738780689,128.08969,2664.389,96.52813706,0.2167488,46.11269,45.01618,129.3198,159777.8,35.3942,31.80024,0.2795222,0.2391941,0.023896784,0.4573869
69,0,0.62,0,0.6,0.7,0.983041751,0.333333333,0.751151974,129.80739,2199.095,83.81440451,0.2167488,44.98167,43.44835,200.5015,131511.2,-56.381,31.88024,0.2352633,0.1923456,0.032321889,0.5400692
70,0,0.62,0,0.6,0.8,0.983041751,0.333333333,0.763819577,129.21054,2344.956,86.5098168,0.2167488,48.1978,45.31528,178.5558,135078.9,-39.5431,31.88024,0.2358405,0.2194307,0.03062794,0.5141008
71,0,0.62,0,0.6,0.9,0.983041751,0.333333333,0.77648718,128.67992,2483.58,89.57585369,0.2167488,48.8514,46.05696,160.0739,148569.9,-17.5178,31.88024,0.2482651,0.237115,0.029148936,0.485471
72,0,0.62,0,0.6,1,0.983041751,0.333333333,0.789154783,128.15402,2617.021,93.20249098,0.2167488,48.03874,46.42636,141.2165,167260.5,3.9534,31.88024,0.2664488,0.2463347,0.027937127,0.4592794
73,0,0.75,0,0.6,0.7,0.983041751,0.333333333,0.78967334,129.83924,2175.781,83.18861492,0.2167488,44.10244,43.11857,210.7107,134276.9,-75.2199,31.88024,0.2394377,0.1889132,0.036480092,0.5351689
74,0,0.75,0,0.6,0.8,0.983041751,0.333333333,0.802340943,129.24333,2314.18,85.22578542,0.2167488,47.87853,45.26034,188.665,138527.6,-59.0009,31.88024,0.2370501,0.2177531,0.034315467,0.5108812
75,0,0.75,0,0.6,0.9,0.983041751,0.333333333,0.815008547,128.71231,2449.927,87.87174034,0.2167488,48.12278,45.54714,168.7355,152995.5,-34.6153,31.88024,0.2513617,0.2331703,0.032891676,0.4825763
76,0,0.75,0,0.6,1,0.983041751,0.333333333,0.82767615,128.18655,2583.367,91.0779078,0.2167488,46.97905,45.52614,150.558,171931.2,-9.95775,31.88024,0.2716989,0.240738,0.031770296,0.4557928
77,0,0.19,0,0.6,0.7,0.983041751,0.333333333,0.623735147,129.69935,2317.71,91.81126079,0.2167488,48.69258,44.88938,167.4781,102322.23,9.79195,31.83963,0.2189602,0.207801,0.018085692,0.5551531
78,0,0.19,0,0.6,0.8,0.983041751,0.333333333,0.63640275,129.10247,2475.494,95.3699352,0.2167488,50.55454,46.53049,148.2041,115464.5,31.88795,31.83963,0.2291615,0.2343017,0.017192779,0.5193439
79,0,0.19,0,0.6,0.9,0.983041751,0.333333333,0.649070353,128.57206,2617.309,98.52781583,0.2167488,49.0354,45.0348,139.4806,127990,49.74745,31.87963,0.2511376,0.2416311,0.016991254,0.49024
80,0,0.19,0,0.6,1,0.983041751,0.333333333,0.661737957,128.04027,2747.105,99.90070261,0.2167488,44.85801,43.84776,114.4406,144711.2,77.94145,31.87963,0.2895606,0.2355575,0.017062712,0.4578191
81,0,0.35,0,0.6,0.7,0.983041751,0.333333333,0.67114606,129.71218,2267.999,87.44451884,0.2167488,48.37997,45.56046,178.6417,112540.3,-14.8804,31.80024,0.2213024,0.2074118,0.022983154,0.5483026
